txn_id,customer_id,account_id,amount,txn_type,payment_mode,category,subcategory,merchant_name,txn_date,city,state,country,description,created_at
1,5,3,1250.75,DEBIT,UPI,FOOD,Restaurant,Zomato,2025-02-05 14:30:00,Nagpur,Maharashtra,India,Dinner at Barbeque Nation,2025-12-10 12:12:50
2,5,3,2300.0,DEBIT,UPI,SHOPPING,Shirt,Myntra,2025-12-10 17:26:00,Nagpur,Maharashtra,India,online shopping,2025-12-11 11:59:44
3,5,3,100.0,DEBIT,UPI,TRAVEL,Metro,Mumbai Metro,2025-12-10 17:35:00,Mumbai,Maharashtra,India,for transport,2025-12-11 12:06:03
4,17,15,599.0,DEBIT,WALLET,SUBSCRIPTIONS,Mobile Recharge,Airtel,2025-12-09 18:03:00,Kolhapur,Maharashtra,India,internet pack,2025-12-11 12:34:15
5,1,51,7321.72,DEBIT,WALLET,OTHERS,Pet Care,Pet Clinic,2025-10-25 00:20:50,Jaipur,Rajasthan,India,Payment for Pet Care at Pet Clinic.,2025-12-12 11:43:44
6,2,52,3521.25,DEBIT,WALLET,FOOD,Groceries,Saravana Bhavan,2025-10-15 03:31:16,Jaipur,Rajasthan,India,Payment for Groceries at Saravana Bhavan.,2025-12-12 11:43:44
7,3,1,4932.38,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Gym Membership,Cult.fit/Anytime Fitness,2025-12-01 05:56:54,Jaipur,Rajasthan,India,Payment for Gym Membership at Cult.fit/Anytime Fitness.,2025-12-12 11:43:44
8,4,2,36409.77,DEBIT,AUTO_DEBIT,EDUCATION,Tuition Fees,University Book Store,2025-10-13 22:51:35,Chennai,Tamil Nadu,India,Payment for Tuition Fees at University Book Store.,2025-12-12 11:43:45
9,5,3,4903.4,DEBIT,UPI,OTHERS,Donation,Pet Clinic,2025-08-18 01:13:04,Jaipur,Rajasthan,India,Payment for Donation at Pet Clinic.,2025-12-12 11:43:45
10,6,4,15596.06,DEBIT,CASH,SHOPPING,Electronics,Amazon India/Myntra,2025-10-22 23:35:41,Pune,Maharashtra,India,Payment for Electronics at Amazon India/Myntra.,2025-12-12 11:43:45
11,7,5,3468.5,DEBIT,CARD,SHOPPING,Books,Croma/Reliance Digital,2025-10-28 06:35:58,Jaipur,Rajasthan,India,Payment for Books at Croma/Reliance Digital.,2025-12-12 11:43:45
12,8,6,368.24,DEBIT,CASH,OTHERS,Gifts,Pet Clinic,2025-10-20 22:22:33,Hyderabad,Telangana,India,Payment for Gifts at Pet Clinic.,2025-12-12 11:43:45
13,9,7,20223.2,DEBIT,WALLET,TRAVEL,Local Sightseeing,Indigo/Air India,2025-12-12 06:55:07,Pune,Maharashtra,India,Payment for Local Sightseeing at Indigo/Air India.,2025-12-12 11:43:46
14,10,8,1609.98,DEBIT,UPI,TRANSPORT,Cab,IOCL Pump,2025-06-28 11:08:19,Mumbai,Maharashtra,India,Payment for Cab at IOCL Pump.,2025-12-12 11:43:46
15,11,9,52625.47,DEBIT,AUTO_DEBIT,FINANCE,Investment,HDFC Bank/SBI,2025-08-07 16:29:51,Chennai,Tamil Nadu,India,Payment for Investment at HDFC Bank/SBI.,2025-12-12 11:43:46
16,12,10,335.4,DEBIT,AUTO_DEBIT,OTHERS,Gifts,NGO India,2025-07-23 13:40:38,Pune,Maharashtra,India,Payment for Gifts at NGO India.,2025-12-12 11:43:46
17,13,11,687.47,DEBIT,WALLET,FOOD,Online Delivery,Starbucks,2025-07-24 03:25:07,Mumbai,Maharashtra,India,Payment for Online Delivery at Starbucks.,2025-12-12 11:43:46
18,14,12,18666.51,DEBIT,CARD,FINANCE,Loan EMI,Zerodha/Groww,2025-09-02 10:39:50,Jaipur,Rajasthan,India,Payment for Loan EMI at Zerodha/Groww.,2025-12-12 11:43:47
19,15,13,38997.77,DEBIT,WALLET,FINANCE,Credit Card Payment,Zerodha/Groww,2025-06-27 03:51:26,Hyderabad,Telangana,India,Payment for Credit Card Payment at Zerodha/Groww.,2025-12-12 11:43:47
20,16,14,2269.08,DEBIT,CARD,SUBSCRIPTIONS,Newspaper,Times of India,2025-10-18 04:40:41,Hyderabad,Telangana,India,Payment for Newspaper at Times of India.,2025-12-12 11:43:47
21,17,15,992.63,DEBIT,CARD,TRANSPORT,Fuel,Ola/Uber,2025-09-29 23:10:35,Mumbai,Maharashtra,India,Payment for Fuel at Ola/Uber.,2025-12-12 11:43:47
22,18,16,2338.79,DEBIT,UPI,TRANSPORT,Cab,IOCL Pump,2025-11-27 15:32:18,Kolkata,West Bengal,India,Payment for Cab at IOCL Pump.,2025-12-12 11:43:47
23,19,17,14154.62,DEBIT,UPI,HEALTHCARE,Insurance Premium,Practo/Local Clinic,2025-10-24 09:50:02,Pune,Maharashtra,India,Payment for Insurance Premium at Practo/Local Clinic.,2025-12-12 11:43:48
24,20,18,20684.56,DEBIT,WALLET,TRAVEL,Train,OYO/Goibibo,2025-09-16 22:50:30,Pune,Maharashtra,India,Payment for Train at OYO/Goibibo.,2025-12-12 11:43:48
25,21,19,4230.37,DEBIT,NET_BANKING,FOOD,Groceries,Saravana Bhavan,2025-07-21 03:59:18,Bengaluru,Karnataka,India,Payment for Groceries at Saravana Bhavan.,2025-12-12 11:43:48
26,22,20,26057.67,DEBIT,CARD,TRAVEL,Flight,IRCTC,2025-12-09 14:47:51,Chennai,Tamil Nadu,India,Payment for Flight at IRCTC.,2025-12-12 11:43:48
27,23,21,19842.93,DEBIT,CARD,HOUSING,Internet,Airtel Broadband/Jio Fiber,2025-11-21 07:54:30,Mumbai,Maharashtra,India,Payment for Internet at Airtel Broadband/Jio Fiber.,2025-12-12 11:43:48
28,24,22,9359.0,DEBIT,CARD,EDUCATION,Online Course,Coursera/Udemy,2025-06-30 05:47:11,Chennai,Tamil Nadu,India,Payment for Online Course at Coursera/Udemy.,2025-12-12 11:43:49
29,25,23,282.35,DEBIT,AUTO_DEBIT,SUBSCRIPTIONS,Newspaper,Cult.fit/Anytime Fitness,2025-12-12 00:43:19,Lucknow,Uttar Pradesh,India,Payment for Newspaper at Cult.fit/Anytime Fitness.,2025-12-12 11:43:49
30,26,24,1638.18,DEBIT,UPI,OTHERS,Donation,Pet Clinic,2025-11-11 16:14:24,Lucknow,Uttar Pradesh,India,Payment for Donation at Pet Clinic.,2025-12-12 11:43:49
31,27,25,870.0,DEBIT,CASH,TRANSPORT,Cab,Delhi Metro/BMTC,2025-09-21 03:38:58,Pune,Maharashtra,India,Payment for Cab at Delhi Metro/BMTC.,2025-12-12 11:43:49
32,28,26,33223.21,DEBIT,CASH,EDUCATION,Online Course,University Book Store,2025-06-21 04:28:52,Hyderabad,Telangana,India,Payment for Online Course at University Book Store.,2025-12-12 11:43:49
33,29,27,11608.25,DEBIT,CASH,EDUCATION,Course Material,University Book Store,2025-10-16 10:02:56,Lucknow,Uttar Pradesh,India,Payment for Course Material at University Book Store.,2025-12-12 11:43:49
34,30,28,32280.2,DEBIT,NET_BANKING,HOUSING,Internet,Airtel Broadband/Jio Fiber,2025-07-03 18:01:17,Kolkata,West Bengal,India,Payment for Internet at Airtel Broadband/Jio Fiber.,2025-12-12 11:43:50
35,31,29,12496.87,DEBIT,CARD,TRAVEL,Flight,IRCTC,2025-06-18 03:38:44,Mumbai,Maharashtra,India,Payment for Flight at IRCTC.,2025-12-12 11:43:50
36,32,30,45363.7,DEBIT,WALLET,HOUSING,Rent,Airtel Broadband/Jio Fiber,2025-09-04 00:41:54,Hyderabad,Telangana,India,Payment for Rent at Airtel Broadband/Jio Fiber.,2025-12-12 11:43:50
