name,age,country,player_type,price_crore,runs,wickets,average,strike_rate
Virat Kohli,35,India,Batter,21.0,8004,4,53.36,132.41
Rohit Sharma,37,India,Batter,16.0,6628,15,29.86,128.61
Shubman Gill,24,India,Batter,12.5,3075,2,40.46,148.72
KL Rahul,32,India,Batter,14.0,4683,2,45.46,134.42
Faf du Plessis,39,South Africa,Batter,7.0,3921,5,31.86,134.79
David Warner,37,Australia,Batter,5.25,6397,3,41.54,139.97
Jos Buttler,33,England,Batter,14.75,3582,1,43.63,148.89
Ruturaj Gaikwad,27,India,Batter,18.0,2782,0,38.64,135.62
Devdutt Padikkal,24,India,Batter,7.75,1597,0,34.71,127.15
Tilak Varma,21,India,Batter,8.0,1540,0,38.5,138.58
Travis Head,30,Australia,Batter,14.0,983,0,40.96,180.7
Jake Fraser-McGurk,22,Australia,Batter,9.0,395,0,32.91,234.52
Ishan Kishan,26,India,Wicket-Keeper Batter,16.25,2636,0,30.18,136.07
Sanju Samson,29,India,Wicket-Keeper Batter,18.0,3722,0,34.78,145.32
Quinton de Kock,31,South Africa,Wicket-Keeper Batter,3.6,3516,0,30.31,131.26
MS Dhoni,42,India,Wicket-Keeper Batter,12.0,5082,0,38.09,135.92
Heinrich Klaasen,32,South Africa,Wicket-Keeper Batter,23.0,1395,0,46.5,178.21
Phil Salt,27,England,Wicket-Keeper Batter,11.5,741,0,38.26,174.12
Hardik Pandya,30,India,All-Rounder,16.0,2770,88,24.17,145.88
Ravindra Jadeja,35,India,All-Rounder,18.0,2692,143,25.06,131.82
Axar Patel,30,India,All-Rounder,16.5,1390,105,21.52,126.65
Shardul Thakur,32,India,All-Rounder,4.0,583,97,19.78,139.26
Suryakumar Yadav,33,India,All-Rounder,16.35,3341,7,32.44,175.62
Mitchell Marsh,32,Australia,All-Rounder,9.0,1157,22,29.66,152.83
Glenn Maxwell,35,Australia,All-Rounder,11.0,2771,30,23.88,152.96
Andre Russell,36,West Indies,All-Rounder,12.0,2838,110,23.46,178.36
Kieron Pollard,36,West Indies,All-Rounder,4.4,3412,69,27.34,150.32
Liam Livingstone,30,England,All-Rounder,8.75,1151,39,23.49,160.78
Washington Sundar,24,India,All-Rounder,3.2,726,67,18.94,121.35
Venkatesh Iyer,29,India,All-Rounder,23.75,1555,27,30.49,140.95
Nitish Kumar Reddy,21,India,All-Rounder,6.0,534,17,26.7,148.33
Jasprit Bumrah,30,India,Bowler,18.0,36,164,20.37,118.42
Mohammed Shami,33,India,Bowler,10.0,19,99,21.06,133.81
Yuzvendra Chahal,33,India,Bowler,18.0,13,205,20.29,81.25
Rashid Khan,25,Afghanistan,Bowler,18.0,617,142,17.56,132.52
Sunil Narine,35,West Indies,Bowler,12.5,1644,155,17.51,163.09
Trent Boult,34,New Zealand,Bowler,12.5,20,121,22.38,129.17
Pat Cummins,31,Australia,Bowler,20.5,206,107,26.45,116.84
Kagiso Rabada,28,South Africa,Bowler,14.0,101,130,22.71,128.44
Bhuvneshwar Kumar,34,India,Bowler,10.75,61,181,23.08,88.61
Mohammed Siraj,30,India,Bowler,12.25,13,93,29.52,102.44
Arshdeep Singh,25,India,Bowler,18.0,18,90,24.78,108.57
Kuldeep Yadav,29,India,Bowler,13.25,21,163,19.22,91.34
T Natarajan,32,India,Bowler,10.75,4,80,25.34,91.67
Harshal Patel,33,India,Bowler,11.75,100,150,21.38,119.85
Adam Zampa,32,Australia,Bowler,15.0,7,56,26.82,84.18
Wanindu Hasaranga,26,Sri Lanka,Bowler,15.5,287,116,19.34,129.75
Lockie Ferguson,32,New Zealand,Bowler,10.0,9,67,27.83,129.17
Mustafizur Rahman,28,Bangladesh,Bowler,2.0,12,114,21.53,86.36
Josh Hazlewood,33,Australia,Bowler,12.5,11,73,24.19,96.25
