"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-01","74",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-02","72","86","62"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-03","71","87","61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-04","78","89","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-05","80","93","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-06","77","92","68"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-07","79","93","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-08","80","94","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-09","77","94","66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-10","80","94","67"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-11","78","93","65"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-12","76","95","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-13","72","94","62"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-14","78",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-15","75","90","59"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-16","75","92","60"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-17","77","93","62"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-18","75","95","61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-19","78","95","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-20","77","94","61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-21","78","91",
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-22","78","96","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-23","80","97","64"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-24","79","97","65"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-25","78","99","65"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-26","79",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-27","77","91","62"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-28","75","88","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-29","75","91","59"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-30","76","95","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-01-31","76","91","51"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-01","76","88","63"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-02","74","88","61"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-03","77","91","60"
"IN012070800","BOMBAY SANTACRUZ, IN","1990-02-04","75","92","60"
