,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
0,Quant,Quant Small Cap Fund Direct Plan Growth,Equity,Very High Risk,4.0,9.98,54.37,22.73
1,Canara,Canara Robeco Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,20.09,44.48,
2,PGIM,PGIM India Midcap Opportunities Fund Direct Growth,Equity,Very High Risk,5.0,11.02,44.22,21.49
3,Bank,Bank of India Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,13.16,44.13,
4,Quant,Quant Tax Plan Direct Growth,Equity,Very High Risk,5.0,17.43,43.88,23.76
5,Quant,Quant Infrastructure Fund Direct Growth,Equity,Very High Risk,5.0,25.78,43.74,23.91
6,Quant,Quant Mid Cap Fund Direct Growth,Equity,Very High Risk,5.0,20.43,40.2,22.03
7,Quant,Quant Flexi Cap Fund Direct Growth,Equity,Very High Risk,,8.31,39.82,19.71
8,Quant,Quant Active Fund Direct Growth,Equity,Very High Risk,,12.41,39.22,23.4
9,Kotak,Kotak Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,10.06,39.13,19.66
10,Nippon,Nippon India Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,16.31,38.54,19.37
11,Edelweiss,Edelweiss Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,14.63,38.28,
12,Union,Union Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,11.19,35.94,16.13
13,Tata,Tata Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,12.87,34.46,
14,SBI,SBI Small Cap Fund Direct Growth,Equity,Very High Risk,4.0,19.32,34.37,20.49
15,DSP,DSP Small Cap Direct Plan Growth,Equity,Very High Risk,3.0,13.12,33.77,14.5
16,Quant,Quant Absolute Fund Direct Growth,Hybrid,Very High Risk,5.0,15.25,33.46,20.17
17,ICICI,ICICI Prudential Smallcap Fund Direct Plan Growth,Equity,Very High Risk,4.0,13.67,33.38,17.03
18,SBI,SBI Magnum Mid Cap Direct Plan Growth,Equity,Very High Risk,3.0,17.75,33.32,15.67
19,IDBI,IDBI Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,21.81,32.83,15.29
20,Invesco,Invesco India Smallcap Fund Direct Growth,Equity,Very High Risk,3.0,6.8,32.57,
21,SBI,SBI Contra Direct Plan Growth,Equity,Very High Risk,5.0,18.4,32.39,15.88
22,Edelweiss,Edelweiss Mid Cap Direct Plan Growth,Equity,Very High Risk,4.0,11.34,32.02,17.28
23,Axis,Axis Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,11.35,32.0,21.46
24,Mirae,Mirae Asset Midcap Fund Direct Growth,Equity,Moderately High Risk,4.0,8.53,31.92,
25,Quant,Quant Multi Asset Fund Direct Growth,Hybrid,Very High Risk,5.0,19.05,31.87,19.85
