player_name,jersey_number,age,country,club,position
Benjamin White,,28.0,England,Arsenal,Defender
Cristhian Mosquera,,22.0,Spain,Arsenal,Defender
Gabriel dos Santos Magalhães,,28.0,Brazil,Arsenal,Defender
Jurriën Timber,,25.0,Netherlands,Arsenal,Defender
Piero Hincapié,,24.0,Ecuador,Arsenal,Defender
Riccardo Calafiori,,24.0,Italy,Arsenal,Defender
William Saliba,,25.0,France,Arsenal,Defender
Gabriel Fernando de Jesus,,29.0,Brazil,Arsenal,Forward
Kai Havertz,,27.0,Germany,Arsenal,Forward
Viktor Gyökeres,,28.0,Sweden,Arsenal,Forward
David Raya Martín,,30.0,Spain,Arsenal,Goalkeeper
Illan Meslier,,26.0,France,Arsenal,Goalkeeper
Kepa Arrizabalaga Revuelta,,31.0,Spain,Arsenal,Goalkeeper
Bruno Guimarães Rodriguez Moura,,28.0,Brazil,Arsenal,Midfielder
Bukayo Saka,,24.0,England,Arsenal,Midfielder
Christos Tzolis,,24.0,Greece,Arsenal,Midfielder
Declan Rice,,27.0,England,Arsenal,Midfielder
Eberechi Eze,,28.0,England,Arsenal,Midfielder
Ethan Nwaneri,,19.0,England,Arsenal,Midfielder
Fábio Ferreira Vieira,,26.0,Portugal,Arsenal,Midfielder
Gabriel Martinelli Silva,,25.0,Brazil,Arsenal,Midfielder
Martin Ødegaard,,27.0,Norway,Arsenal,Midfielder
Martín Zubimendi Ibáñez,,27.0,Spain,Arsenal,Midfielder
Max Dowman,,16.0,England,Arsenal,Midfielder
Mikel Merino Zazón,,30.0,Spain,Arsenal,Midfielder
Myles Lewis-Skelly,,19.0,England,Arsenal,Midfielder
Noni Madueke,,24.0,England,Arsenal,Midfielder
Reiss Nelson,,26.0,England,Arsenal,Midfielder
Andrés García,,,,Aston Villa,Defender
Ezri Konsa Ngoyo,,28.0,England,Aston Villa,Defender
Ian Maatsen,,24.0,Netherlands,Aston Villa,Defender
Kosta Nedeljkovic,,20.0,Serbia,Aston Villa,Defender
Lucas Digne,,33.0,France,Aston Villa,Defender
Matteo Ruggeri,,24.0,Italy,Aston Villa,Defender
Matty Cash,,29.0,Poland,Aston Villa,Defender
Pau Torres,,29.0,Spain,Aston Villa,Defender
Tyrone Mings,,33.0,England,Aston Villa,Defender
Victor Lindelöf,,32.0,Sweden,Aston Villa,Defender
Brian Madjo,,17.0,England,Aston Villa,Forward
Ollie Watkins,,30.0,England,Aston Villa,Forward
Tammy Abraham,,28.0,England,Aston Villa,Forward
Emiliano Martínez Romero,,33.0,Argentina,Aston Villa,Goalkeeper
Marco Bizot,,35.0,Netherlands,Aston Villa,Goalkeeper
Zion Suzuki,,24.0,Japan,Aston Villa,Goalkeeper
Alejandro Garnacho Ferreyra,,22.0,Argentina,Aston Villa,Midfielder
Alysson Edward Franco da Rocha dos Santos,,20.0,Brazil,Aston Villa,Midfielder
Amadou Onana,,25.0,Belgium,Aston Villa,Midfielder
Boubacar Kamara,,26.0,France,Aston Villa,Midfielder
Bradley Burrowes,,18.0,England,Aston Villa,Midfielder
Emiliano Buendía Stati,,29.0,Argentina,Aston Villa,Midfielder
George Hemmings,,19.0,England,Aston Villa,Midfielder
Joao Gomes,,25.0,Brazil,Aston Villa,Midfielder
Johan Manzambi,,20.0,Switzerland,Aston Villa,Midfielder
John McGinn,,31.0,Scotland,Aston Villa,Midfielder
Lamare Bogarde,,22.0,Netherlands,Aston Villa,Midfielder
Leon Bailey,,29.0,Jamaica,Aston Villa,Midfielder
Ross Barkley,,32.0,England,Aston Villa,Midfielder
Samuel Iling-Junior,,22.0,England,Aston Villa,Midfielder
Adam Smith,,35.0,England,Bournemouth,Defender
Adrien Truffert,,24.0,France,Bournemouth,Defender
António João Pereira de Albuquerque Tavares da Silva,,22.0,Portugal,Bournemouth,Defender
Bafodé Diakité,,25.0,France,Bournemouth,Defender
James Hill,,24.0,England,Bournemouth,Defender
Juanlu Sánchez,,23.0,Spain,Bournemouth,Defender
Julio Soler Barreto,,21.0,Argentina,Bournemouth,Defender
Julián Araujo Zúñiga,,25.0,Mexico,Bournemouth,Defender
Veljko Milosavljevic,,19.0,Serbia,Bournemouth,Defender
Enes Ünal,,29.0,Turkey,Bournemouth,Forward
Francisco Evanilson de Lima Barbosa,,26.0,Brazil,Bournemouth,Forward
Álvaro Rodríguez,,22.0,Uruguay,Bournemouth,Forward
Fraser Forster,,38.0,England,Bournemouth,Goalkeeper
Will Dennis,,26.0,England,Bournemouth,Goalkeeper
Đorđe Petrović,,26.0,Serbia,Bournemouth,Goalkeeper
Alex Scott,,23.0,England,Bournemouth,Midfielder
Alex Tóth,,20.0,Hungary,Bournemouth,Midfielder
Amine Adli,,26.0,Morocco,Bournemouth,Midfielder
Ben Gannon-Doak,,20.0,Scotland,Bournemouth,Midfielder
David Brooks,,29.0,Wales,Bournemouth,Midfielder
Junior Kroupi,,20.0,France,Bournemouth,Midfielder
Justin Kluivert,,27.0,Netherlands,Bournemouth,Midfielder
Lewis Cook,,29.0,England,Bournemouth,Midfielder
Marcus Tavernier,,27.0,England,Bournemouth,Midfielder
Rayan Vitor Simplício Rocha,,20.0,Brazil,Bournemouth,Midfielder
Ryan Christie,,31.0,Scotland,Bournemouth,Midfielder
Tyler Adams,,27.0,USA,Bournemouth,Midfielder
Aaron Hickey,,24.0,Scotland,Brentford,Defender
Ethan Pinnock,,33.0,Jamaica,Brentford,Defender
Jannik Schuster,,20.0,Austria,Brentford,Defender
Kim Ji-soo,,21.0,South Korea,Brentford,Defender
Kristoffer Ajer,,28.0,Norway,Brentford,Defender
Michael Kayode,,22.0,Italy,Brentford,Defender
Nathan Collins,,25.0,Ireland,Brentford,Defender
Rico Henry,,29.0,Jamaica,Brentford,Defender
Sepp van den Berg,,24.0,Netherlands,Brentford,Defender
Callum Wilson,,34.0,England,Brentford,Forward
Igor Thiago Nascimento Rodrigues,,25.0,Brazil,Brentford,Forward
Kaye Furo,,19.0,Belgium,Brentford,Forward
Caoimhín Kelleher,,27.0,Ireland,Brentford,Goalkeeper
Hákon Rafn Valdimarsson,,24.0,Iceland,Brentford,Goalkeeper
Antoni Milambo,,21.0,Netherlands,Brentford,Midfielder
Dango Ouattara,,24.0,Burkina Faso,Brentford,Midfielder
Fábio Freitas Gouveia Carvalho,,23.0,Portugal,Brentford,Midfielder
Jaidon Anthony,,26.0,England,Brentford,Midfielder
Josh Dasilva,,27.0,England,Brentford,Midfielder
Keane Lewis-Potter,,25.0,England,Brentford,Midfielder
Kevin Schade,,24.0,Germany,Brentford,Midfielder
Mamadou Sangaré,,24.0,Mali,Brentford,Midfielder
Mathias Jensen,,30.0,Denmark,Brentford,Midfielder
Mikkel Damsgaard,,26.0,Denmark,Brentford,Midfielder
Vitaly Janelt,,28.0,Germany,Brentford,Midfielder
Yehor Yarmoliuk,,22.0,Ukraine,Brentford,Midfielder
Diego Coppola,,,,Brighton,Defender
Ferdi Kadıoğlu,,26.0,Turkey,Brighton,Defender
Igor Julio dos Santos de Paulo,,28.0,Brazil,Brighton,Defender
João Pedro Loureiro da Costa,,26.0,Portugal,Brighton,Defender
Lewis Dunk,,34.0,England,Brighton,Defender
Luka Vušković,,19.0,Croatia,Brighton,Defender
Mats Wieffer,,26.0,Netherlands,Brighton,Defender
Maxim De Cuyper,,25.0,Belgium,Brighton,Defender
Michael Svoboda,,27.0,Austria,Brighton,Defender
Olivier Boscagli,,28.0,France,Brighton,Defender
Pascal Struijk,,27.0,Netherlands,Brighton,Defender
Charalampos Kostoulas,,19.0,Greece,Brighton,Forward
Evan Ferguson,,21.0,Ireland,Brighton,Forward
Georginio Rutter,,24.0,France,Brighton,Forward
Promise David,,25.0,Canada,Brighton,Forward
Stefanos Tzimas,,20.0,Greece,Brighton,Forward
Bart Verbruggen,,24.0,Netherlands,Brighton,Goalkeeper
Jason Steele,,36.0,England,Brighton,Goalkeeper
Carlos Baleba,,22.0,Cameroon,Brighton,Midfielder
Diego Gómez Amarilla,,23.0,Paraguay,Brighton,Midfielder
Facundo Buonanotte,,21.0,Argentina,Brighton,Midfielder
Harry Howell,,,,Brighton,Midfielder
Jack Hinshelwood,,21.0,England,Brighton,Midfielder
Matt O'Riley,,25.0,Denmark,Brighton,Midfielder
Mitoma Kaoru,,29.0,Japan,Brighton,Midfielder
Nehemiah Oriola,,,,Brighton,Midfielder
Pascal Groß,,35.0,Germany,Brighton,Midfielder
Tom Watson,,20.0,England,Brighton,Midfielder
Yankuba Minteh,,22.0,Gambia,Brighton,Midfielder
Yasin Ayari,,22.0,Sweden,Brighton,Midfielder
Zadok Yohanna,,19.0,Nigeria,Brighton,Midfielder
Aaron Anselmino,,21.0,Argentina,Chelsea,Defender
Axel Disasi,,28.0,France,Chelsea,Defender
Benoît Badiashile Mukinayi,,25.0,France,Chelsea,Defender
Jorrel Hato,,20.0,Netherlands,Chelsea,Defender
Josh Acheampong,,20.0,England,Chelsea,Defender
Levi Samuels Colwill,,23.0,England,Chelsea,Defender
Malo Gusto,,23.0,France,Chelsea,Defender
Mamadou Sarr,,20.0,Senegal,Chelsea,Defender
Marco Palestra,,21.0,Italy,Chelsea,Defender
Maxence Lacroix,,26.0,France,Chelsea,Defender
Pep Chavarría,,28.0,Spain,Chelsea,Defender
Reece James,,26.0,England,Chelsea,Defender
Tosin Adarabioyo,,28.0,England,Chelsea,Defender
Trevoh Chalobah,,27.0,England,Chelsea,Defender
Wesley Fofana,,25.0,France,Chelsea,Defender
Danny Welbeck,,35.0,England,Chelsea,Forward
Emmanuel Emegha,,23.0,Netherlands,Chelsea,Forward
João Pedro Junqueira de Jesus,,24.0,Brazil,Chelsea,Forward
Liam Delap,,23.0,England,Chelsea,Forward
Marc Guiu Paz,,20.0,Spain,Chelsea,Forward
Nicolas Jackson,,25.0,Senegal,Chelsea,Forward
Shumaira Mheuka,,,,Chelsea,Forward
