Player,Country,TestRuns,TestWickets
Glenn McGrath,AUS,641,563
Jacques Kallis,SA,13289,292
Kapil Dev,IND,5248,434
James Anderson,ENG,1350,704
Wasim Akram,PAK,2898,414
Ricky Ponting,AUS,13378,5
Ben Stokes,ENG,6320,200
Curtly Ambrose,WI,1400,405
Rahul Dravid,IND,13288,1
Muttiah Muralitharan,SL,1267,800
Alastair Cook,ENG,12472,1
Anil Kumble,IND,2506,619
Sachin Tendulkar,IND,15921,46
Daniel Vettori,NZ,4531,362
Kumar Sangakkara,SL,12400,0
Imran Khan,PAK,3807,362
Brian Lara,WI,11953,0
Ian Botham,ENG,5200,383
Steve Smith,AUS,9600,19
Shane Warne,AUS,3154,708
Virat Kohli,IND,9200,4
Joe Root,ENG,11400,65
Shaun Pollock,SA,3781,421
Dale Steyn,SA,1250,439
Ravichandran Ashwin,IND,3474,537
